G_unit,ref,guid,name
10704730,SE,9396B113-A0B0-11D3-9E53-009027B0FCE9,"LA SUÈDE"
10704730,SE,9396B113-A0B0-11D3-9E53-009027B0FCE9,ROOTSI
10704730,SE,9396B113-A0B0-11D3-9E53-009027B0FCE9,SVERIGE
10704730,SE,9396B113-A0B0-11D3-9E53-009027B0FCE9,SCHWEDEN
10704730,SE,9396B113-A0B0-11D3-9E53-009027B0FCE9,SWEDEN
10716093,SE/500019301,243BB745-A801-4806-8B62-3AAE517E5669,"MEDELPADS ÖSTRA DOMSAGA"
10716100,SE/400024301,2450EF88-8C80-4589-A6ED-CF4F7665CDCB,"KINDS OCH REDVÄGS DOMSAGA"
10716111,SE/168500020,2469E260-8580-4596-824D-E6F63E2DC599,"VARVS KOMMUN"
10716123,SE/076400015,2473B1B9-85FC-4AF4-9BAF-C9C5F6D9891E,"SKATELÖVS KOMMUN"
10716135,SE/188000023,248E68C8-D351-4F8B-8EE8-2456C50C52F3,"STORA MELLÖSA KOMMUN"
10716147,SE/098000049,24994113-2962-49D3-8F3F-DD417094FCC8,"ANGA KOMMUN"
10716159,SE/098000035,24AAC34B-59DA-4604-8570-1FBFC5F5CF5D,"ENDRE KOMMUN"
10716160,SE/4160000001005,24AD74DA-0E05-4A02-A586-74B78456228C,"VÄSTGÖTA DALS REGEMENTE 16"
10716172,SE/088100006,24C43E6A-7EF1-4537-8DE3-4222EAB5A07F,"KRISTVALLA KOMMUN"
10716184,SE/086000005,250B20FA-34D8-4B50-9434-75AC1DBF0C1F,"VIRSERUMS KOMMUN"
10716196,SE/158400007,251A59AE-C501-488E-ADEE-6D96EA4E49BF,"MÖNE KOMMUN"
10716202,SE/100062301,25211A9C-DC35-4B81-9FEC-A33DCD63B420,"SALA RÅDHUSRÄTT"
10716214,SE/147000400,2529CC0E-98BA-4B2C-BFFE-12781A2648E4,"SÖDERTÄLJE TINGSRÄTT"
10716226,SE/118100004,25357089-0FA5-42E1-A504-4850BB0D5A62,"SIMRIS NÖBBELÖVS KOMMUN"
10716238,SE/400019301,253A16C0-0AC0-4536-B411-8279BCA20935,"NORRVIKENS DOMSAGA"
10716240,SE/166300003,2544FBD2-7CBD-4F43-9EE3-610B443BEAC2,"FREDSBERGS KOMMUN"
10716251,SE/153005300,25457B42-BE0F-40EF-8030-7B7CB4F5428E,"NORUNDA HÄRAD"
10716263,SE/228200005,254CBFCB-10E0-446F-AA75-D2968FEA007C,"VIBYGGERÅ KOMMUN"
10716275,SE/465003300,254F722B-5420-490B-A18D-70606F8AD12C,"NORDMARKS HÄRAD"
10716287,SE/138300004,2560666F-4121-4C41-A9A6-B0A4D5771A0F,"NÖSSLINGE KOMMUN"
10716299,SE/178000012,257BE73E-9A72-4871-BB3A-076DD4A51148,"NORS KOMMUN"
10716305,SE/600017301,257E00C7-8F76-4371-AD6A-26CE66035E6E,"LULEÅ DOMSAGA"
10716317,SE/248200003,2587343F-1E4C-48A3-877E-A0C8419F4DAD,"SKELLEFTEÅ LANDSKOMMUN"
10716329,SE/178500004,258A5F69-0AEA-42B8-8026-E9A196CCC6EC,"ÖLSERUDS KOMMUN"
10716330,SE/128700021,258EA6C8-C1B7-4EF3-A2BC-4DE7B9A785FF,"ÖSTRA TORPS KOMMUN"
10716342,SE/058100022,2594716B-60C8-4D9F-B96C-0B392523FB7E,"TÅBY KOMMUN"
10716354,SE/038000033,259F179F-C7EF-42FB-B609-7B17DB75EF4E,"LENA KOMMUN"
10716366,SE/120199000,25DF85B1-6DBE-479E-9B5F-1749C838A4AF,"ESLÖVS FÖGDERI"
10716378,SE/058200012,25E42287-5C27-49FD-834D-1E6AB4248781,"BÖRRUMS KOMMUN"
10716380,SE/168600025,25F5C3ED-147A-4412-BEFE-3F938E0AD9B6,"KARLEBY KOMMUN"
10716391,SE/050499010,261B2A1C-86DE-4EDC-AE0D-0DE409333B66,"RÅDHUSRÄTTEN OCH MAGISTRATEN I NORRKÖPING"
10716408,SE/126000003,262637E7-F15B-4C67-9345-0BED678A36D8,"NORRA VRAMS KOMMUN"
10716410,SE/056000003,262CF93D-BB2E-4F18-A633-FB9E1BC0B7EA,"BOXHOLMS KÖPING"
10716421,SE/126514999,262F6D89-EC7B-41D7-B944-4E9DD8DE8DD5,"SKARTOFTA FÖRSAMLING"
10716433,SE/058000037,263FD637-8F1F-480E-AD55-55BC6A40A493,"BANKEKINDS KOMMUN"
10716445,SE/010999002,26439434-E1F1-4569-9BBA-B53D799F4D42,"FÄRENTUNA FÖGDERI"
10716457,SE/200599006,265D485B-86D8-4FF4-B448-8492F137313C,"HEDEMORA STAD"
10716469,SE/148013998,265DB4DA-1A48-495D-B0B9-6895D4B86578,"MARIEBERGS FÖRSAMLING"
10716470,SE/244006300,266CE97C-047A-457D-A077-C1F497FEA1EE,"MEMMINGS HÄRAD"
10716482,SE/118001999,2679D2C9-12E6-47A9-9BD2-55DE226333E2,"KRISTIANSTADS GARNISONSFÖRSAMLING"
10716494,SE/068500028,268C92E7-6A6B-4CE0-BCC8-742F00D9FB59,"MYRESJÖ KOMMUN"
10716500,SE/058000020,26A4D669-8A00-40BB-B2CF-42A0E73FE9BB,"RAPPESTADS KOMMUN"
10716512,SE/018800016,26A6B4F9-7954-4E28-AE7C-D567F77605F9,"SJUHUNDRA KOMMUN"
